Items,Location,1991,2006,2009,2012,2015
CV_Subsistence Incidence among Population,Philippines,2.819535,2.89296,3.179694,3.396322,5.469757
CV_Subsistence Incidence among Population,NCR,16.80708,25.41854,27.96593,32.81763,33.82172
CV_Subsistence Incidence among Population,1st District,..,54.88576,-,85.68525,63.44409
CV_Subsistence Incidence among Population,2nd District,..,50.51334,40.00698,51.54129,72.68378
CV_Subsistence Incidence among Population,3rd District,..,44.84725,38.33631,91.38748,61.41413
CV_Subsistence Incidence among Population,4th District,..,42.1753,93.27335,53.30074,63.97963
CV_Subsistence Incidence among Population,CAR,20.58874,13.97331,16.0432,15.582,31.49972
CV_Subsistence Incidence among Population,Abra,..,18.3108,25.22206,25.70244,23.44328
CV_Subsistence Incidence among Population,Apayao,..,33.15145,28.7778,30.74481,38.74549
CV_Subsistence Incidence among Population,Benguet,..,34.71845,50.80741,56.32251,66.36353
CV_Subsistence Incidence among Population,Ifugao,..,43.90002,45.42463,19.88259,66.55662
CV_Subsistence Incidence among Population,Kalinga,..,19.41747,25.63757,40.66391,51.74014
CV_Subsistence Incidence among Population,Mt. Province,..,28.61354,28.14938,32.36192,16.79106
CV_Subsistence Incidence among Population,Region I,11.19126,10.01297,14.43463,14.81695,21.60407
CV_Subsistence Incidence among Population,Ilocos Norte,..,34.22718,37.64333,44.92196,-
CV_Subsistence Incidence among Population,Ilocos Sur,..,48.43613,42.0039,50.92212,39.35366
CV_Subsistence Incidence among Population,La Union,..,22.96333,38.72139,29.98525,50.95996
CV_Subsistence Incidence among Population,Pangasinan,..,11.39577,13.18891,16.80345,22.2574
CV_Subsistence Incidence among Population,Region II,12.1499,12.18886,12.50868,20.30529,20.37665
CV_Subsistence Incidence among Population,Batanes,..,-,-,-,-
CV_Subsistence Incidence among Population,Cagayan,..,20.14108,19.52617,24.59126,39.20465
CV_Subsistence Incidence among Population,Isabela,..,16.18486,16.92845,22.4677,32.47821
CV_Subsistence Incidence among Population,Nueva Vizcaya,..,46.05141,64.98157,68.03307,32.70325
CV_Subsistence Incidence among Population,Quirino,..,72.0336,46.87798,92.78172,46.23775
CV_Subsistence Incidence among Population,Region III,11.40358,13.58335,13.33734,14.71751,16.98803
CV_Subsistence Incidence among Population,Aurora,..,77.94595,90.03034,21.7921,-
CV_Subsistence Incidence among Population,Bataan,..,79.16946,-,44.45517,-
CV_Subsistence Incidence among Population,Bulacan,..,53.15207,37.29272,48.04608,51.79121
CV_Subsistence Incidence among Population,Nueva Ecija,..,17.03881,16.6837,19.67264,26.43439
CV_Subsistence Incidence among Population,Pampanga,..,74.98645,50.17331,76.92071,89.38013
CV_Subsistence Incidence among Population,Tarlac,..,23.03435,26.44156,24.56528,16.42152
CV_Subsistence Incidence among Population,Zambales,..,36.15627,28.61369,57.209,25.15584
CV_Subsistence Incidence among Population,Region IV-A,11.83058,13.18376,19.10826,15.91567,25.11662
CV_Subsistence Incidence among Population,Batangas,..,20.50521,32.53399,25.25446,31.61339
CV_Subsistence Incidence among Population,Cavite,..,69.62994,-,95.5189,43.481
CV_Subsistence Incidence among Population,Laguna,..,34.03405,52.01452,36.72858,48.35288
CV_Subsistence Incidence among Population,Quezon,..,18.44135,28.69759,25.25076,41.22124
CV_Subsistence Incidence among Population,Rizal,..,36.35414,40.46015,43.24776,51.71743
